title,link,year,publication_type,publication_date,doi,abstract,authors,patent,created_at,updated_at,trackid
Integer Codes Correcting Single Errors and Detecting Burst Errors Within a Byte,https://www.researchgate.net/publication/344805226_Integer_Codes_Correcting_Single_Errors_and_Detecting_Burst_Errors_within_a_Byte,2020,Article,2020-12-01 00:00:00,DOI:10.1109/TDMR.2020.3033511,"Correcting single and detecting adjacent errors has become important in memory systems using high density DRAM chips. The reason is that, in these systems, the strike of a single energetic particle can upset one or more adjacent bits. In this paper, we present a simple solution for this problem based on integer codes capable of correcting single errors and detecting l-bit burst errors within a b-bit byte (1 < l ≤ b). Unlike the classical approach, the proposed one does not rely on the use of dedicated encoding/decoding hardware. Instead, it uses the processor as both encoder and decoder. The effectiveness of such solution is demonstrated on a theoretical model of an eight-core processor. The obtained results show that it has the potential to be used in future DDR5 systems.",Aleksandar Radonjic,,2025-01-20 00:49:06.973147,2025-01-20 00:49:06.973147,2f424434d68511ef984c0c9a3cb15cde
Far-End Crosstalk Mitigation Using Homogeneous Dielectric Substrate in DDR5,https://www.researchgate.net/publication/337786588_Far-End_Crosstalk_Mitigation_Using_Homogeneous_Dielectric_Substrate_in_DDR5,2019,Conference Paper,2019-10-01 00:00:00,,,"Qiang-Ming Cai, Lin Zhu, Xiao-Bo Yu, Liang Zhang",,2025-01-20 00:49:06.994543,2025-01-20 00:49:06.994543,2f424434d68511ef984c0c9a3cb15cde
A 7-GHz Fast-Lock Two-Step Time-to-Digital Converter-Based All-Digital DLL,https://www.researchgate.net/publication/335116843_A_7-GHz_Fast-Lock_Two-Step_Time-to-Digital_Converter-Based_All-Digital_DLL,2020,Article,2020-04-01 00:00:00,DOI:10.1007/s00034-019-01230-x,"This paper presents a new fast-lock all-digital delay-locked loop (DLL) for next-generation memory devices such as DDR5 SDRAMs. The proposed DLL utilizes a new two-step time-to-digital converter (TDC)-based phase detecting and tracking scheme that results in a fast lock time of less than seven clock cycles. Unlike previous TDC-based DLLs, there is an advantage of having a fast lock time regardless of the long-replica clock buffer delay in the DRAM DLL. Implemented in a 65 nm CMOS process, the proposed digital DLL has a wide operating frequency range of 1.65–7.0 GHz and occupies an area of only 0.021 mm². The DLL dissipates only 7.1 mW from a 1.0 V supply at 7 GHz, and the effective peak-to-peak (p–p) jitter of the output clock is about 4.55 ps at 7 GHz.","Dongjun Park, Jongsun Kim",,2025-01-20 00:49:07.014312,2025-01-20 00:49:07.014312,2f424434d68511ef984c0c9a3cb15cde
Trends of SI/PI analysis for DDR4/DDR5 memory systems,https://www.researchgate.net/publication/326749681_Trends_of_SIPI_analysis_for_DDR4DDR5_memory_systems,2018,Article,2018-08-01 00:00:00,DOI:10.5104/jiep.21.397,,"Shinichi Maeda, Yukio Masuko",,2025-01-20 00:49:07.042376,2025-01-20 00:49:07.042376,2f424434d68511ef984c0c9a3cb15cde
NetDIMM: Low-Latency Near-Memory Network Interface Architecture,https://www.researchgate.net/publication/336453569_NetDIMM_Low-Latency_Near-Memory_Network_Interface_Architecture,2019,Conference Paper,2019-10-01 00:00:00,,"Optimizing bandwidth was the main focus of designing scale-out networks for several decades and this optimization trend has served well the traditional Internet applications. However, the emergence of datacenters as single computer entities has made latency as important as bandwidth in designing datacenter networks. PCIe interconnect is known to be latency bottleneck in communication networks as its latency overhead can contribute to up to ~90% of the overall communication latency. Despite its overheads, PCIe is the de facto interconnect standard in servers as it has been well established and maintained for more than two decades. In addition to PCIe overhead, data movements in network software stack consume thousands of processor cycles and make ultra-low latency networking more challenging. Tackling PCIe and data movement overheads, we architect NetDIMM, a near-memory network interface card capable of in-memory buffer cloning. NetDIMM places a network interface card chip into the buffer device of a dual in-line memory module and leverages the asynchronous memory access capability of DDR5 to share the memory modules between the host processor and near-memory NIC. Our evaluation shows NetDIMM, on average, improves per packet latency by 49.9% compared with a baseline network deploying PCIe NICs.","Mohammad Alian, Nam Kim",,2025-01-20 00:49:07.069801,2025-01-20 00:49:07.069801,2f424434d68511ef984c0c9a3cb15cde
Parallel Branching of Two 2-DIMM-Sections with Write-Direction Impedance-Matching for an 8-drop 6.4 Gbps SDRAM Interface,https://www.researchgate.net/publication/327616402_Parallel_Branching_of_Two_2-DIMM-Sections_with_Write-Direction_Impedance-Matching_for_an_8-drop_64_Gbps_SDRAM_Interface,2018,Article,2018-09-01 00:00:00,DOI:10.1109/TCPMT.2018.2869593,A parallel branching SDRAM channel with write-direction impedance-matching (PBIM) is proposed for an 8-drop 6.4 Gbps SDRAM interface. The 8-drop PBIM channel consists of two parallel branches; each branch consists of a series connection of 2 DIMMs for a 4-drop configuration and the data (DQ) channel uses two kinds of transmission lines with characteristic impedances of 50 and 25 ohms and a resistor on motherboard. Measurements on the test setup show that the proposed 8-drop channel works at the DDR5 target data rate of 6.4 Gbps in both write and read directions by using the same motherboard area as the that of SSTL channel and a BER tester for transmitter and receiver. IEEE,"Won-cheol Lee, Min-Kyun Chae, Kyoung-Jae Soh, Ensung Seo",,2025-01-20 00:49:07.094175,2025-01-20 00:49:07.094175,2f424434d68511ef984c0c9a3cb15cde
"A 1.1V 16Gb DDR5 DRAM with Probabilistic-Aggressor Tracking, Refresh-Management Functionality, Per-Row Hammer Tracking, a Multi-Step Precharge, and Core-Bias Modulation for Security and Reliability Enhancement",https://www.researchgate.net/publication/369497102_A_11V_16Gb_DDR5_DRAM_with_Probabilistic-Aggressor_Tracking_Refresh-Management_Functionality_Per-Row_Hammer_Tracking_a_Multi-Step_Precharge_and_Core-Bias_Modulation_for_Security_and_Reliability_Enhance,2023,Conference Paper,2023-02-01 00:00:00,,,"Woongrae Kim, Chulmoon Jung, Seongnyuh Yoo, Duckhwa Hong",,2025-01-20 00:49:07.121129,2025-01-20 00:49:07.121129,2f424434d68511ef984c0c9a3cb15cde
Study of Thickening Soldermask Coated Microstrip Lines on High-Speed PCBs for Crosstalk Reduction in DDR5,https://www.researchgate.net/publication/344817622_Study_of_Thickening_Soldermask_Coated_Microstrip_Lines_on_High-Speed_PCBs_for_Crosstalk_Reduction_in_DDR5,2020,Conference Paper,2020-07-01 00:00:00,,,"Xiao-Bo Yu, Qiang-Ming Cai, Yinglei Ren, Xiaoning Ye",,2025-01-20 00:49:07.146692,2025-01-20 00:49:07.146692,2f424434d68511ef984c0c9a3cb15cde
A Novel Dynamic PI Simulation Methodology Including Non-linear PMIC Characteristics for DDR5 Module,https://www.researchgate.net/publication/339559660_A_Novel_Dynamic_PI_Simulation_Methodology_Including_Non-linear_PMIC_Characteristics_for_DDR5_Module,2019,Conference Paper,2019-12-01 00:00:00,,,"Jonghoon J. Kim, Kun Joo, Jinseong Yun, Jaeyoung Shin",,2025-01-20 00:49:07.169599,2025-01-20 00:49:07.169599,2f424434d68511ef984c0c9a3cb15cde
Sensitivity Analysis of Local Soldermask and Coverlay in High Speed Transimission Lines for DDR5 Applications to Reduce FEXT,https://www.researchgate.net/publication/344820202_Sensitivity_Analysis_of_Local_Soldermask_and_Coverlay_in_High_Speed_Transimission_Lines_for_DDR5_Applications_to_Reduce_FEXT,2020,Conference Paper,2020-07-01 00:00:00,,,"Zhu Lin, Xin Cao, Qiang-Ming Cai, Yinglei Ren",,2025-01-20 00:49:07.193942,2025-01-20 00:49:07.193942,2f424434d68511ef984c0c9a3cb15cde
